area_cd,area_nm,lat,lng,congest_lvl,congest_msg,ppltn_min,ppltn_max,rate_age_0_9,resnt_rate,measured_at,fcst_time,fcst_congest_lvl,collected_at
POI108,이촌한강공원,37.5172404421072,126.970526590861,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,3500,4000,0.6,12.7,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI109,잠실종합운동장,37.5145906150942,127.073024865801,붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,14000,16000,1.2,4.7,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI110,잠실한강공원,37.5177992564873,127.082357837214,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,3000,3500,0.6,6.4,2026-08-23 18:35,2026-08-23 20:00,붐빔,2026-08-23 19:06:23
POI111,잠원한강공원,37.5273338139916,127.019046713623,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,2000,2500,0.7,5.5,2026-08-23 18:35,2026-08-23 20:00,붐빔,2026-08-23 19:06:23
POI112,청계산,37.44898005261383,127.0546981800968,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,2000,2500,2.6,31.5,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI114,북창동 먹자골목,37.5614811760833,126.978006379609,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,6500,7000,0.7,35.5,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI115,남대문시장,37.55918176072071,126.9776267740439,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,9500,10000,0.8,33.8,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI116,익선동,37.5734371942191,126.989775723896,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,10000,12000,0.5,21.9,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI117,신정네거리역,37.5202231231721,126.852889567642,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2000,0.5,21.1,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI118,잠실새내역,37.5116263587296,127.086314327913,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,12000,14000,0.3,17.8,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI119,잠실역,37.51331105877401,127.10023101886318,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,42000,44000,0.6,1.7,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI120,잠실롯데타워·석촌호수,37.512554780735776,127.10271952592768,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,72000,74000,0.5,5.5,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI121,송리단길·호수단길,37.5093249452576,127.110416326514,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,9000,9500,0.2,23.7,2026-08-23 18:35,2026-08-23 20:00,붐빔,2026-08-23 19:06:23
POI122,신촌 스타광장,37.5569792757261,126.93667142222,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,4000,4500,0.8,34.1,2026-08-23 18:35,2026-08-23 20:00,붐빔,2026-08-23 19:06:23
POI123,보라매공원,37.49328307697023,126.92051756183096,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,3000,3500,1.9,38.6,2026-08-23 18:35,2026-08-23 20:00,약간 붐빔,2026-08-23 19:06:23
POI124,서대문독립공원,37.5744058898155,126.955398396095,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,800,900,0.4,30.7,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI125,안양천,37.5271859663193,126.881665362707,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,2000,2500,0.7,21.7,2026-08-23 18:35,2026-08-23 20:00,붐빔,2026-08-23 19:06:23
POI126,여의서로,,,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1000,1500,0.7,17.7,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI127,올림픽공원,37.5205340628851,127.120812783275,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,9000,9500,0.6,15.0,2026-08-23 18:35,2026-08-23 20:00,보통,2026-08-23 19:06:23
POI128,홍제폭포,,,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,300,400,3.7,69.8,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI129,송현녹지광장,37.5765680782914,126.981715077368,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,4000,4500,0.8,28.3,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI130,시의회 앞,,,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,6500,7000,0.8,27.6,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
POI131,숭례문,37.5600030088843,126.975313124237,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,6000,6500,0.8,40.8,2026-08-23 18:35,2026-08-23 20:00,여유,2026-08-23 19:06:23
